Harmonized_attribute,Scorecard_attribute,Scorecard_attribute_updated,Transformation_logic,Modelled
oca_lvl2_praise_miscellaneous,oca_lvl2_praise_miscellaneous,,N/A,0
oca_lvl2_praise_package,oca_lvl2_praise_package,,N/A,0
oca_lvl2_praise_prodcut_formulation,oca_lvl2_praise_prodcut_formulation,,N/A,0
oca_lvl2_praise_promotion,oca_lvl2_praise_promotion,,N/A,0
oca_lvl2_praise_website,oca_lvl2_praise_website,,N/A,0
oca_lvl2_unknown_root_cause,oca_lvl2_unknown_root_cause,,N/A,0
oca_praise,oca_praise,,N/A,0
oca_praise_percentage,oca_praise_percentage,,N/A,0
oca_unknown_root_cause,oca_unknown_root_cause,,N/A,0
oca_unknown_root_cause_percentage,oca_unknown_root_cause_percentage,,N/A,0
ratings_reviews_1_star_ratings,ratings_reviews_1_star_ratings,,N/A,0
ratings_reviews_2_star_ratings,ratings_reviews_2_star_ratings,,N/A,0
ratings_reviews_count_health_benefits_,ratings_reviews_review_sentiment_score_health_benefits_count,,N/A,0
ratings_reviews_count_ingredients_,ratings_reviews_review_sentiment_score_ingredients_count,,N/A,0
ratings_reviews_count_litter_performance_,ratings_reviews_review_sentiment_score_litter_performance_count,,N/A,0
ratings_reviews_count_null_,ratings_reviews_review_sentiment_score_null_count,,N/A,0
ratings_reviews_count_others_,ratings_reviews_review_sentiment_score_others_count,,N/A,0
ratings_reviews_count_pet_enjoyment_,ratings_reviews_review_sentiment_score_pet_enjoyment_count,,N/A,0
ratings_reviews_count_simplify_,ratings_reviews_review_sentiment_score_simplify_count,,N/A,0
ratings_reviews_count_value_for_the_money_,ratings_reviews_review_sentiment_score_value_for_the_money_count,,N/A,0
ratings_reviews_review_rating_median,ratings_reviews_review_rating_median,,N/A,0
ratings_reviews_review_rating_mode,ratings_reviews_review_rating_mode,,N/A,0
ratings_reviews_sentiment_score_bad_experiences,ratings_reviews_review_sentiment_score_bad_experiences,,N/A,0
ratings_reviews_sentiment_score_null,ratings_reviews_review_sentiment_score_null,,N/A,0
ratings_reviews_sentiment_score_others,ratings_reviews_review_sentiment_score_others,,N/A,0
ratings_reviews_sentiment_score_simplify,ratings_reviews_review_sentiment_score_simplify,,N/A,0
search_actual_keyword_alias_count,search_actual_keyword_alias_count,,N/A,0
search_actual_keyword_count,search_actual_keyword_count,,N/A,0
search_total_keyword_alias_count,search_total_keyword_alias_count,,N/A,0
search_total_keyword_count,search_total_keyword_count,,N/A,0
social_negative_sentiment,social_negative_sentiment,,N/A,0
social_neutral_sentiment,social_neutral_sentiment,,N/A,0
social_percent_negative,social_percent_negative,,N/A,0
social_positive_sentiment,social_positive_sentiment,,N/A,0
social_share_of_negative_sentiment,social_share_of_negative_sentiment,,N/A,0
social_share_of_neutral_sentiment,social_share_of_neutral_sentiment,,N/A,0
social_share_of_positive_sentiment,social_share_of_positive_sentiment,,N/A,0
social_social_mentions,social_social_mentions,,N/A,0
social_total_buzz_post,social_total_buzz_post,,N/A,0
,neilsen_panel_occasions_per_buyer,Trips - Nielsen Panel,,
,neilsen_panel_per_2_plus_time_buyers,2+ Purchases - Nielsen Panel,,
,neilsen_panel_value_per_buyer,Buyer Dollar Value - Nielsen Panel,,
,neilsen_panel_value_per_occasion,Dollars per Trip - Nielsen Panel,,
,neilsen_panel_pound_basis_per_buyer,Pounds per Buyer - Nielsen Panel,,
,neilsen_panel_pound_basis_per_occasion,Pounds per Trip - Nielsen Panel,,
